City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
198,tralee,52.2704,-9.7026,15.71,96,95,2.37,IE,1686456161
199,port saint john's,-31.6229,29.5448,13.45,65,0,3.26,ZA,1686455931
200,centerville,39.6284,-84.1594,20.92,63,0,3.09,US,1686456161
201,la gi,10.6667,107.7833,31.84,60,87,6.77,VN,1686456161
202,lianjiang,21.6467,110.2817,30.11,74,100,2.84,CN,1686456161
203,fale old settlement,-9.3852,-171.2468,28.9,76,43,4.61,TK,1686456161
204,pelabuhanratu,-6.9875,106.5514,29.95,64,75,1.23,ID,1686456162
205,ixtapa,20.7,-105.2,23.76,84,76,0.73,MX,1686456035
206,isafjordur,66.0755,-23.124,6.05,77,77,5.93,IS,1686456163
207,shimoda,34.6667,138.95,21.2,89,100,2.76,JP,1686456163
208,laojunmiao,39.8333,97.7333,26.92,11,7,4.0,CN,1686456012
209,vilyuysk,63.7553,121.6247,25.12,55,100,5.34,RU,1686456163
210,ingeniero jacobacci,-41.3427,-69.5448,-1.16,71,1,4.72,AR,1686456163
211,georgetown,5.4112,100.3354,30.97,74,20,4.12,MY,1686456014
212,souillac,-20.5167,57.5167,22.21,88,75,0.0,MU,1686456082
213,sandnessjoen,66.0217,12.6316,11.29,71,98,4.54,NO,1686456164
214,mabinay,9.7272,122.9017,30.74,63,88,4.15,PH,1686456164
215,mount gambier,-37.8333,140.7667,15.48,57,61,4.27,AU,1686456164
216,aykhal,66.0,111.5,1.3,96,100,10.71,RU,1686456164
217,limassol,34.675,33.0333,21.04,88,20,2.57,CY,1686456164
218,revelstoke,50.9832,-118.2023,19.01,82,100,2.06,CA,1686456152
219,yuzhno-kurilsk,44.0306,145.8556,13.27,84,88,3.45,RU,1686456165
220,nantucket,41.2835,-70.0995,16.03,89,0,3.09,US,1686456165
221,selfoss,63.9331,-20.9971,5.02,79,50,3.59,IS,1686456165
222,sibiti,-3.6819,13.3499,20.37,99,99,1.27,CG,1686456165
223,ta`u,-14.2336,-169.5144,28.09,78,49,5.88,AS,1686456165
224,grums,59.3466,13.1091,12.28,62,0,2.57,SE,1686456165
225,iwanai,42.9744,140.5089,22.72,60,100,1.88,JP,1686456165
226,christchurch,-43.5333,172.6333,12.11,74,52,4.63,NZ,1686455917
227,driefontein,-27.0177,30.4498,5.18,52,0,4.06,ZA,1686456002
228,broome,42.2506,-75.833,15.56,91,25,0.79,US,1686456166
229,vorgashor,67.5833,63.95,6.47,82,99,6.67,RU,1686456166
230,port antonio,18.18,-76.4612,28.95,87,100,5.15,JM,1686456166
231,port elizabeth,-33.918,25.5701,13.39,81,0,1.54,ZA,1686455920
232,oamaru,-45.0784,170.9801,7.99,66,100,0.22,NZ,1686456167
233,ravar,31.2656,56.8055,28.49,22,12,0.75,IR,1686456167
234,lebu,-37.6167,-73.65,7.4,79,8,5.57,CL,1686456167
235,urengoy,65.9667,78.3667,11.98,45,100,9.31,RU,1686456167
236,tukrah,32.5341,20.5791,21.2,62,33,0.1,LY,1686456167
237,butajira,8.1167,38.3667,15.61,84,99,1.11,ET,1686456167
238,abu zabad,12.35,29.25,25.25,69,100,3.2,SD,1686456167
239,paita,-5.0892,-81.1144,23.53,80,97,6.04,PE,1686456167
240,port macquarie,-31.4333,152.9167,19.38,64,4,3.16,AU,1686456167
241,nova sintra,14.8667,-24.7167,21.79,83,12,9.05,CV,1686456168
242,matadi,-5.8167,13.45,22.91,92,100,1.17,CD,1686456166
243,kongoussi,13.3258,-1.5347,29.98,45,74,5.47,BF,1686456168
244,oppdal,62.5943,9.6912,12.82,59,65,3.93,NO,1686456168
245,prince george,53.9166,-122.753,15.14,92,100,3.6,CA,1686456060
246,homer,59.6425,-151.5483,10.94,61,100,6.69,US,1686456168
247,sinabang,2.4803,96.3801,30.0,69,77,2.16,ID,1686456168
248,nuku'alofa,-21.1333,-175.2,25.19,65,75,2.06,TO,1686456168
249,monrovia,6.3005,-10.7969,24.87,88,100,2.95,LR,1686455962
250,las veredas,23.1388,-109.7075,27.25,66,0,1.03,MX,1686456169
251,thinadhoo,0.5333,72.9333,28.81,70,17,2.24,MV,1686456169
252,miyang,24.4042,103.4428,27.24,38,84,0.25,CN,1686456169
253,trairi,-3.2778,-39.2689,24.36,89,6,3.1,BR,1686456169
254,tamanrasset,22.785,5.5228,26.95,41,100,2.06,DZ,1686456169
255,tura,25.5198,90.2201,29.94,65,46,1.08,IN,1686456169
256,great falls,47.5002,-111.3008,18.16,84,0,3.09,US,1686456170
257,mhangura,-16.8939,30.1683,14.62,49,53,1.09,ZW,1686456170
258,magadan,59.5667,150.8,19.74,75,61,3.66,RU,1686456170
259,am timan,11.0297,20.2827,25.46,78,98,1.64,TD,1686456170
260,berdigestyakh,62.0989,126.6992,27.24,38,5,4.45,RU,1686456170
261,jeddah,21.5169,39.2192,31.92,66,0,0.0,SA,1686455965
262,whakatane,-37.9585,176.9854,15.84,79,18,1.34,NZ,1686456171
263,crane,31.3974,-102.3501,30.7,15,51,1.86,US,1686455904
264,malango,-2.9627,119.9001,26.45,72,63,2.08,ID,1686456171
265,poronaysk,49.2167,143.1167,11.46,87,96,4.33,RU,1686456171
266,al mijlad,11.0333,27.7333,27.47,65,100,2.74,SD,1686456171
267,spring creek,40.7266,-115.5859,13.83,74,100,0.77,US,1686456125
268,udachny,66.4167,112.4,3.03,100,100,10.0,RU,1686456171
269,kulhudhuffushi,6.6221,73.07,28.81,78,100,7.58,MV,1686456172
270,menaka,15.9182,2.4022,29.22,45,98,3.94,ML,1686456172
271,kenai,60.5544,-151.2583,13.05,66,0,4.12,US,1686456172
272,soanierana ivongo,-16.9167,49.5833,18.83,84,2,2.08,MG,1686456172
273,cassia,-20.5831,-46.9219,15.1,64,0,0.06,BR,1686456046
274,pavlovsk,50.4578,40.1081,14.03,91,100,7.55,RU,1686456172
275,almodovar del campo,38.7094,-4.1791,18.04,67,70,0.49,ES,1686456172
276,natal,-5.795,-35.2094,24.12,94,20,3.09,BR,1686456172
277,ribadesella,43.4614,-5.0596,18.3,90,98,1.78,ES,1686456172
278,prince rupert,54.3161,-130.3201,13.05,83,0,8.23,CA,1686456173
279,peterhead,57.5058,-1.7981,11.92,91,33,5.92,GB,1686456173
280,kavaratti,10.5669,72.642,29.19,75,95,9.56,IN,1686456173
281,la passe,45.5549,-0.8967,18.32,89,67,2.54,FR,1686456173
282,labrador city,52.9463,-66.9114,6.95,100,0,1.03,CA,1686455943
283,ayr,55.4627,-4.6339,15.17,94,99,2.89,GB,1686456173
284,minas de marcona,-15.2119,-75.1103,12.26,88,54,5.9,PE,1686456173
285,posto fiscal rolim de moura,-13.0833,-62.2667,23.08,79,3,1.15,BR,1686456173
286,pelham,33.2857,-86.81,24.38,81,75,2.06,US,1686456128
287,murzuq,25.9155,13.9184,27.83,25,0,5.4,LY,1686456174
288,clarksville,36.5298,-87.3595,26.14,64,0,2.57,US,1686455896
289,nsanje,-16.92,35.262,16.84,78,0,1.8,MW,1686456174
290,cape coast,5.1053,-1.2466,25.63,80,100,7.09,GH,1686455903
291,north bend,43.4065,-124.2243,14.92,88,0,12.35,US,1686456174
292,cedeira,43.6797,-8.0209,15.21,81,8,1.32,ES,1686456174
293,beberibe,-4.1797,-38.1306,24.66,87,0,3.33,BR,1686456113
294,kununurra,-15.7667,128.7333,30.99,37,90,2.57,AU,1686456175
295,alice springs,-23.7,133.8833,19.75,26,100,1.54,AU,1686456175
296,naco,31.3347,-109.9483,24.05,19,23,4.49,MX,1686456175
297,tongliao,43.6125,122.2653,21.73,41,100,5.26,CN,1686456031
298,jalai nur,49.45,117.7,21.7,43,32,2.13,CN,1686456175
299,timbuktu,16.7735,-3.0074,31.49,29,75,5.09,ML,1686456175
300,ancud,-41.8697,-73.8203,8.07,62,51,3.86,CL,1686456011
301,nuuk,64.1835,-51.7216,10.34,40,100,21.09,GL,1686456081
302,ketchikan,55.3422,-131.6461,16.26,59,0,3.09,US,1686456176
303,vernon,50.2581,-119.2691,20.89,75,93,3.58,CA,1686456050
304,obo,5.3998,26.4869,20.17,90,100,0.32,CF,1686456176
305,west bay,19.3667,-81.4167,29.04,83,20,3.09,KY,1686456176
306,terenos,-20.4422,-54.8603,21.84,64,0,3.09,BR,1686456176
307,susuman,62.7833,148.1667,21.02,38,36,5.53,RU,1686456176
308,suwayr,30.1171,40.3893,25.52,34,0,4.48,SA,1686456176
309,harper,4.375,-7.7169,25.25,85,100,4.83,LR,1686456177
310,nadym,65.5333,72.5167,12.41,81,96,10.38,RU,1686456177
311,utrik,11.2278,169.8474,27.88,77,96,6.79,MH,1686456177
312,sidareja,-7.4846,108.7923,30.45,59,87,2.91,ID,1686456177
313,clodomira,-27.5744,-64.1311,14.1,28,100,5.51,AR,1686456177
314,beruniy,41.6911,60.7525,23.98,33,0,4.12,UZ,1686456177
315,vilyuchinsk,52.9306,158.4028,23.15,49,24,3.08,RU,1686456177
316,bubaque,11.2833,-15.8333,27.61,80,100,9.14,GW,1686456178
317,wau,7.7029,27.9953,22.32,92,100,1.42,SS,1686456178
318,itoman,26.1247,127.6694,30.21,86,75,6.17,JP,1686456178
319,new norfolk,-42.7826,147.0587,16.72,75,74,0.45,AU,1686456178
320,nouadhibou,20.931,-17.0347,21.99,73,0,5.14,MR,1686456179
321,port alfred,-33.5906,26.891,14.64,50,0,4.26,ZA,1686456152
322,labuan,5.2767,115.2417,30.2,70,20,1.54,MY,1686456179
323,shingu,33.7333,135.9833,21.12,99,100,2.6,JP,1686456179
324,la sarre,48.8002,-79.1996,6.14,82,100,4.48,CA,1686456089
325,kingston,17.997,-76.7936,28.53,84,20,7.2,JM,1686456179
326,mogocha,53.7333,119.7667,27.0,29,0,1.52,RU,1686456179
327,lanxi,29.2195,119.477,30.92,66,98,0.76,CN,1686456180
328,icano,-28.9193,-65.3282,12.31,31,81,1.54,AR,1686456180
329,polyarnyy,69.1989,33.4478,9.14,67,100,2.39,RU,1686456180
330,chinde,26.8418,88.0763,24.69,64,8,2.1,NP,1686456180
331,kotlas,61.2611,46.6556,6.46,56,11,4.47,RU,1686456180
332,buta,2.7858,24.73,21.23,94,100,0.94,CD,1686456180
333,aginskoye,51.1,114.53,23.29,37,35,3.02,RU,1686456180
334,fortuna,40.5982,-124.1573,13.29,92,100,2.57,US,1686456180
335,ouro preto do oeste,-10.7481,-62.2158,22.71,87,18,0.55,BR,1686456181
336,saint george's,12.0564,-61.7485,27.82,83,20,5.14,GD,1686456181
337,embarcacion,-23.209,-64.096,16.79,71,100,3.65,AR,1686456181
338,jiagedaqi,50.4167,124.1167,24.46,43,12,2.49,CN,1686456181
339,vyyezdnoye,55.3815,43.7864,9.58,61,90,3.97,RU,1686456181
340,ploudalmezeau,48.5333,-4.65,16.82,88,100,3.09,FR,1686456182
341,arkhangel'sk,64.5401,40.5433,7.44,60,95,2.68,RU,1686456182
342,bedesa,8.9,40.7833,16.9,91,72,1.96,ET,1686456182
343,smithers,54.7804,-127.1743,22.18,26,0,5.66,CA,1686455984
344,dabakala,8.3667,-4.4333,22.66,95,100,3.21,CI,1686456183
345,lodja,-3.4833,23.4333,20.56,87,93,0.7,CD,1686456183
346,quibala,-10.7337,14.98,15.53,93,14,1.1,AO,1686456183
347,brisas de zicatela,15.8369,-97.0419,30.29,66,40,2.57,MX,1686456183
348,chapada dos guimaraes,-15.4606,-55.7497,18.81,53,59,2.43,BR,1686456183
349,vanimo,-2.6741,141.3028,29.23,70,98,2.71,PG,1686456183
350,veinticinco de mayo,-35.4323,-60.1727,4.43,72,0,0.89,AR,1686455928
351,kripens'kyy,48.0771,39.058,17.35,77,100,4.68,UA,1686456184
352,healdsburg,38.6105,-122.8692,16.8,79,100,3.09,US,1686456175
353,kendal,54.3268,-2.7476,17.28,77,100,1.93,GB,1686456184
354,island harbour,50.724,-1.2758,18.32,93,89,0.42,GB,1686456184
355,taoudenni,22.6783,-3.9836,32.19,14,0,6.29,ML,1686456184
356,geraldton,-28.7667,114.6,19.23,63,100,8.23,AU,1686456185
357,cambria,35.5641,-121.0808,15.23,92,99,1.94,US,1686456000
358,svetlyy,54.675,20.1347,12.03,63,0,5.54,RU,1686456185
359,xiaoshi,41.2971,124.1209,19.04,74,99,0.59,CN,1686456186
360,kyshtovka,56.555,76.6271,17.25,69,88,4.74,RU,1686456186
361,tazacorte,28.629,-17.9293,19.54,75,0,3.09,ES,1686456186
362,maloye ganyushkino,46.6,49.2667,28.43,32,27,8.86,KZ,1686456186
363,masterton,-40.9597,175.6575,12.16,80,60,0.21,NZ,1686456186
